artist_id,artist_genres
4EnEZVjo3w1cwcQYePccay,gangster rap
4EnEZVjo3w1cwcQYePccay,golden age hip hop
4EnEZVjo3w1cwcQYePccay,hip hop
4EnEZVjo3w1cwcQYePccay,old school hip hop
4EnEZVjo3w1cwcQYePccay,rap
4EnEZVjo3w1cwcQYePccay,west coast rap
7Ey4PD4MYsKc5I2dolUwbH,album rock
7Ey4PD4MYsKc5I2dolUwbH,classic rock
7Ey4PD4MYsKc5I2dolUwbH,hard rock
7Ey4PD4MYsKc5I2dolUwbH,rock
1P8IfcNKwrkQP5xJWuhaOC,east coast hip hop
1P8IfcNKwrkQP5xJWuhaOC,golden age hip hop
1P8IfcNKwrkQP5xJWuhaOC,hip hop
1P8IfcNKwrkQP5xJWuhaOC,old school hip hop
1P8IfcNKwrkQP5xJWuhaOC,queens hip hop
1P8IfcNKwrkQP5xJWuhaOC,rap
2LMR8u7DOMF0FBseDpTsRa,britpop
2LMR8u7DOMF0FBseDpTsRa,chamber pop
2LMR8u7DOMF0FBseDpTsRa,scottish indie
4Cedjq5BQL3MhapRvDpFED,alternative country
4Cedjq5BQL3MhapRvDpFED,canadian indie
4Cedjq5BQL3MhapRvDpFED,canadian singer-songwriter
4Cedjq5BQL3MhapRvDpFED,chamber pop
4Cedjq5BQL3MhapRvDpFED,ectofolk
4Cedjq5BQL3MhapRvDpFED,folk
4Cedjq5BQL3MhapRvDpFED,lilith
4Cedjq5BQL3MhapRvDpFED,new americana
4Cedjq5BQL3MhapRvDpFED,outlaw country
4Cedjq5BQL3MhapRvDpFED,singer-songwriter
2Lhs0asnFQiLuntn3s8p78,chamber pop
2Lhs0asnFQiLuntn3s8p78,melancholia
3WrFJ7ztbogyGnTHbHJFl2,beatlesque
3WrFJ7ztbogyGnTHbHJFl2,british invasion
3WrFJ7ztbogyGnTHbHJFl2,classic rock
3WrFJ7ztbogyGnTHbHJFl2,merseybeat
3WrFJ7ztbogyGnTHbHJFl2,psychedelic rock
3WrFJ7ztbogyGnTHbHJFl2,rock
6kBDZFXuLrZgHnvmPu9NsG,ambient
6kBDZFXuLrZgHnvmPu9NsG,braindance
6kBDZFXuLrZgHnvmPu9NsG,electronica
6kBDZFXuLrZgHnvmPu9NsG,intelligent dance music
6kBDZFXuLrZgHnvmPu9NsG,uk experimental electronic
2ye2Wgw4gimLv2eAKyk1NB,hard rock
