artist_id,artist_name,artist_popularity,artist_followers
7HGNYPmbDrMkylWqeFCOIQ,Caetano Veloso,63,2179583
22WZ7M8sxp5THdruNY3gXt,The Doors,70,7504894
3kbBWco9PZ5eSQsNScwG6U,Built To Spill,46,291339
34EP7KEpOjXcM2TCat1ISk,Wu-Tang Clan,65,2898151
7jocoSCuCtpCxCI6IbP8ye,Digital Underground,52,522488
6DCIj8jNaNpBz8e5oKFPtp,The Cars,63,1709956
04cetTUz2JTzXBqFKO5YB5,The Wrens,29,22223
438JBZR1AR0l04AzcYW9gy,Harold Melvin & The Blue Notes,50,575371
2g3PKH7Z1Ofn5oGR6oDjLy,The Sonics,40,127660
3SblTU11ZKURsHhWGwPpt9,The Tornados,25,22707
3w0vR06WHMVwMe1G20wmlS,The Sabres Of Paradise,24,17297
4Am5deuAhDuKUJgXmoCQzj,The Orioles,17,6910
0F3Aew9DSd6fb6192K1K0Y,Keith Jarrett,50,344745
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,62,1753852
0lwRI7lvmlRY5DiA5Xa6wQ,Lipps Inc.,55,123791
5A0MH7JfEBEMySevsmauds,Soft Machine,38,126991
7lKaTIgVek1R2lqpCulQmq,Gene Vincent & His Blue Caps,33,56238
5hQCwevTf03u1rECrRMeop,Grandmaster Flash & The Furious Five,40,114430
0nJUwPwC9Ti4vvuJ0q3MfT,John Prine,55,520747
6cAtGdArQhrU7tTBoeWY3P,The Robert Cray Band,40,106831
5m8H6zSadhu1j9Yi04VLqD,Sly & The Family Stone,56,995758
7MoIc5s9KXolCBH1fy9kkw,Japanese Breakfast,54,660822
6WH1V41LwGDGmlPUhSZLHO,Autechre,39,209376
6P7H3ai06vU1sGvdpBwDmE,Steely Dan,64,2109736
3UvcmAOZt64oKpP95f6MMM,Big Star,41,148812
2vQavlZtDA660mnZotYIto,Link Wray,40,100931
4RVnAU35WRWra6OZ3CbbMA,Kylie Minogue,70,1829634
2jgPkn6LuUazBoBk6vvjh5,The Zombies,57,927382
3d1olqhURDe8e5HOta1Qxg,The Neville Brothers,36,69368
2ApaG60P4r0yhBoDCGD8YG,Elliott Smith,62,1003071
37w38cCSGgKLdayTRjna4W,Mazzy Star,65,1075495
7C2DSqaNkh0w77O5Jz1FKh,Archie Shepp,31,48793
2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine,68,5678642
2yEwvVSSSUkcLeSTNyHKh8,TOOL,67,3364978
1LB8qB5BPb3MHQrfkvifXU,Cheap Trick,58,1416420
0sHeX8oQ6o7xic3wMf4NBU,Supergrass,55,577426
1b1N51wmSK0ckxFAMPSSHO,The Impressions,45,271457
5TnuP42pw475UrjjeabtwZ,The Waterboys,52,260558
4AYkFtEBnNnGuoo8HaHErd,Madness,57,730848
1gRNBaI4yn6wCCTvRhGWh8,Don McLean,60,927302
6n9Ciz68f2aZF98RAdshe6,Them Dirty Roses,49,38925
0701Axu6yvUIoctaKMbDIZ,Freda Payne,35,18436
4DToQR3aKrHQSSRzSz8Nzt,The Hives,58,770191
0AD4odMWVQ2wUSlgxOB5Rl,Jeff Beck,52,716077
0JDkhL4rjiPNEp92jAgJnS,Roy Orbison,63,1896002
1YzCsTRb22dQkh9lghPIrp,Billie Holiday,62,1808050
36E7oYfz3LLRto6l2WmDcD,Pulp,56,882724
6QtGlUje9TIkLrgPZrESuk,Steve Miller Band,65,2897766
6S0GHTqz5sxK5f9HtLXn9q,Garbage,55,1147130
5Wabl1lPdNOeIn0SQ5A1mp,Cocteau Twins,61,846637
4lxfqrEsLX6N1N4OCSkILp,Phil Collins,73,5468421
0vn7UBvSQECKJm2817Yf1P,James Taylor,64,2476791
6kz53iCdBSqhQCZ21CoLcc,Culture Club,61,1501229
3X0tJzVYoWlfjLYI0Ridsw,Suzanne Vega,52,468551
34UhPkLbtFKRq3nmfFgejG,Mogwai,47,559597
4yiQZ8tQPux8cPriYMWUFP,Gwen Stefani,70,6294805
2EsmKkHsXK0WMNGOtIhbxr,McCoy Tyner,45,123331
2Hkut4rAAyrQxRdof7FVJq,Rush,62,2194335
7yk35uHNQclPXFGFoTU44w,The Pharcyde,55,698391
1XcbmsczGDkYqrqIy8K89H,Stardust Vibes,59,10138
7Lf3LOZp3U3u2f6cWMd3AH,Paul Weller,49,438938
7LuYiSXiWs86rwWJjEEgB9,Mudhoney,41,272746
3Ovf2lytXSXWFM2cwsJACC,Lead Belly,36,186354
0JM134st8VY7Ld9T2wQiH0,Coleman Hawkins,47,125655
1tpXaFf2F55E7kVJON4j4G,Black Rebel Motorcycle Club,48,542868
3mNygoyrEKLgo6sx0MzwOL,Ali Farka Touré,44,251560
2GHclqNVjqGuiE5mA7BEoc,Common,58,911276
0FRIWJYklnmsll5M6h4gUL,The Carter Family,35,56751
6tbjWDEIzxoDsBA1FuhfPW,Madonna,77,7315135
2gBjLmx6zQnFGQJCAQpRgw,Nelly,71,2559560
7CCn4PFRRRZF127jtCBAUe,The Lovin' Spoonful,55,488213
artist_id,artist_name,artist_popularity,artist_followers
artist_id,artist_name,artist_popularity,artist_followers
5niRbYTYBUDibifKoFfieF,Missy Misdemeanor Elliott,14,738
4xls23Ye9WR9yy3yYMpAMm,Little Richard,54,892292
7C4sUpWGlTy7IANjruj02I,Peter Gabriel,62,1615406
3iDD7bnsjL9J4fO298r0L0,Chicago,66,3856843
artist_id,artist_name,artist_popularity,artist_followers
5niRbYTYBUDibifKoFfieF,Missy Misdemeanor Elliott,14,738
4xls23Ye9WR9yy3yYMpAMm,Little Richard,54,892292
7C4sUpWGlTy7IANjruj02I,Peter Gabriel,62,1615406
3iDD7bnsjL9J4fO298r0L0,Chicago,66,3856843
artist_id,artist_name,artist_popularity,artist_followers
03hfAxVdAWj7kxDnSG0fLD,The Shadows,45,240886
2ooIqOf4X2uz4mMptXCtie,Neutral Milk Hotel,52,665974
244fcyNSuyhbRlMGfMbYrO,Badly Drawn Boy,40,128001
4F84IBURUo98rz4r61KF70,The White Stripes,68,2940595
47zz7sob9NUcODy0BTDvKx,Sade,70,3484907
5cbutZUQE7SUCA6MsEMbBv,Hank Mobley,45,86990
2Mu5NfyYm8n5iTomuKAEHl,Ms. Lauryn Hill,69,2628650
